NOME_PRODUTO,URL,PORCAO (g),CALORIAS (kcal),CARBOIDRATOS (g),PROTEINAS (g),GORDURAS_TOTAIS (g),GORDURAS_SATURADAS (g),FIBRAS (g),ACUCARES (g),SODIO (mg)
Linguiça Toscana Na Brasa 5kg,https://www.perdigao.com.br/produtos/linguicas/linguicas-frescais/linguica-toscana-na-brasa-5kg,50,103,0.8,6.9,8.0,2.6,0,0,424
"Linguiça de Carne Suína Na Brasa 2,5kg",https://www.perdigao.com.br/produtos/linguicas/linguicas-frescais/linguica-de-carne-suina-na-brasa-25kg,100,110,0.7,6.3,8.8,2.9,0,0.4,457
Linguiça de Pernil 700g,https://www.perdigao.com.br/produtos/linguicas/linguicas-frescais/linguica-de-pernil-700g,100,108,0.8,6.9,8.7,2.9,0.3,0.6,476
Linguiça Tipo Calabresa 400g,https://www.perdigao.com.br/produtos/linguicas/todas-as-linguicas-defumadas/linguica-tipo-calabresa-400g,50,167,1.3,8.8,14,5.7,0,0.6,640
Linguiça Paio 370g,https://www.perdigao.com.br/produtos/linguicas/todas-as-linguicas-defumadas/linguica-paio-370g,50,162,0.5,8.5,14,4.9,0,0.5,750
Linguiça Tipo Portuguesa 400g,https://www.perdigao.com.br/produtos/linguicas/todas-as-linguicas-defumadas/linguica-tipo-portuguesa-400g,50,157,0.4,8.5,14,5.5,0,0.4,750
Linguiça Fininha 215g,https://www.perdigao.com.br/produtos/linguicas/todas-as-linguicas-defumadas/linguica-fininha-215g,50,256,0,9.0,14,4.7,0,0,500
Linguiça Fininha Enroladinha 500g,https://www.perdigao.com.br/produtos/linguicas/todas-as-linguicas-defumadas/linguica-fininha-enroladinha-500g,50,120,0,8.8,9.5,2.6,0,0,533
"Linguiça fininha 2,5kg",https://www.perdigao.com.br/produtos/linguicas/todas-as-linguicas-defumadas/linguica-fininha-25kg,100,159,0.5,9,14,4.7,0,0.5,750
Linguiça Tipo Calabresa 1kg,https://www.perdigao.com.br/produtos/linguicas/todas-as-linguicas-defumadas/linguica-tipo-calabresa-1kg,100,167,1.3,8.8,14,5.7,0,0.6,640
"Linguiça Tipo Calabresa 2,5kg",https://www.perdigao.com.br/produtos/linguicas/todas-as-linguicas-defumadas/linguica-tipo-calabresa-25kg,50,167,1.3,8.8,14,5.7,0,0.6,640
Linguiça Tipo Calabresa 5kg,https://www.perdigao.com.br/produtos/linguicas/todas-as-linguicas-defumadas/linguica-tipo-calabresa-5kg,100,167,1.3,8.8,14,5.7,0,0.6,640
"Linguiça Paio 2,5kg",https://www.perdigao.com.br/produtos/linguicas/todas-as-linguicas-defumadas/linguica-paio-25kg,100,162,0.5,8.5,14,4.9,0,0.5,750
"Linguiça Tipo Portuguesa 2,5kg",https://www.perdigao.com.br/produtos/linguicas/todas-as-linguicas-defumadas/linguica-tipo-portuguesa-25kg,50,157,0,8.5,14,5.5,0,0.4,750
"Linguiça Tipo Calabresa Reta 2,5kg",https://www.perdigao.com.br/produtos/linguicas/todas-as-linguicas-defumadas/linguica-tipo-calabresa-reta-25kg,100,158,0.2,9,14,5.5,0,0.2,750
Mortadela Tradicional 5kg,https://www.perdigao.com.br/produtos/frios/mortadela-tradicional/mortadela-tradicional-5kg,100,314,5.8,12,27,10,0,0.8,1180
"Mortadela Tradicional 4,8kg",https://www.perdigao.com.br/produtos/frios/mortadela-tradicional/mortadela-tradicional-48kg,40,126,0,0,0,0,0,0,0
